      ksamplingd-17110   [017] .....  2146.549422: ksamplingd: nr_sampled: 8500000, nr_dram: 474951, nr_nvm: 25037, nr_write: 12, nr_throttled: 0 
      ksamplingd-17110   [017] .....  2159.973734: ksamplingd: nr_sampled: 9000000, nr_dram: 286871, nr_nvm: 213109, nr_write: 20, nr_throttled: 0 
      ksamplingd-17110   [019] .....  2173.101968: ksamplingd: nr_sampled: 9500000, nr_dram: 249071, nr_nvm: 249787, nr_write: 1142, nr_throttled: 0 
      ksamplingd-17110   [023] .....  2196.158938: ksamplingd: nr_sampled: 10000000, nr_dram: 116128, nr_nvm: 383853, nr_write: 19, nr_throttled: 0 
      ksamplingd-17110   [019] .....  2218.202617: ksamplingd: nr_sampled: 10500000, nr_dram: 203837, nr_nvm: 296150, nr_write: 13, nr_throttled: 0 
      ksamplingd-17110   [023] .....  2243.187550: ksamplingd: nr_sampled: 11000000, nr_dram: 249505, nr_nvm: 250477, nr_write: 18, nr_throttled: 0 
      ksamplingd-17110   [023] .....  2276.564948: ksamplingd: nr_sampled: 11500000, nr_dram: 249508, nr_nvm: 250469, nr_write: 23, nr_throttled: 0 
      ksamplingd-17110   [025] .....  2328.425634: ksamplingd: nr_sampled: 12000000, nr_dram: 180289, nr_nvm: 318606, nr_write: 1105, nr_throttled: 0 
      ksamplingd-17110   [051] .....  2379.014368: ksamplingd: nr_sampled: 12500000, nr_dram: 247882, nr_nvm: 250688, nr_write: 1430, nr_throttled: 0 
      ksamplingd-17110   [051] .....  2438.576108: ksamplingd: nr_sampled: 13000000, nr_dram: 249054, nr_nvm: 250006, nr_write: 940, nr_throttled: 0 
      ksamplingd-17110   [051] .....  2498.288547: ksamplingd: nr_sampled: 13500000, nr_dram: 249517, nr_nvm: 250415, nr_write: 68, nr_throttled: 0 
      ksamplingd-17110   [051] .....  2557.913640: ksamplingd: nr_sampled: 14000000, nr_dram: 249229, nr_nvm: 250317, nr_write: 454, nr_throttled: 0 
      ksamplingd-17110   [051] .....  2623.018031: ksamplingd: nr_sampled: 14500000, nr_dram: 248603, nr_nvm: 249384, nr_write: 2013, nr_throttled: 0 
      ksamplingd-17110   [051] .....  2695.282323: ksamplingd: nr_sampled: 15000000, nr_dram: 284211, nr_nvm: 203124, nr_write: 12665, nr_throttled: 0 
      ksamplingd-17110   [051] .....  2754.938863: ksamplingd: nr_sampled: 15500000, nr_dram: 249344, nr_nvm: 250484, nr_write: 172, nr_throttled: 0 
      ksamplingd-17110   [051] .....  2830.074656: ksamplingd: nr_sampled: 16000000, nr_dram: 314067, nr_nvm: 185255, nr_write: 678, nr_throttled: 0 
      ksamplingd-17110   [053] .....  2949.090112: ksamplingd: nr_sampled: 16500000, nr_dram: 498765, nr_nvm: 31, nr_write: 1204, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3397.254364: ksamplingd: nr_sampled: 500000, nr_dram: 38281, nr_nvm: 461609, nr_write: 110, nr_throttled: 0 
      ksamplingd-31716   [085] .....  3400.908629: ksamplingd: nr_sampled: 1000000, nr_dram: 16, nr_nvm: 499959, nr_write: 25, nr_throttled: 0 
      ksamplingd-31716   [085] .....  3404.557588: ksamplingd: nr_sampled: 1500000, nr_dram: 22, nr_nvm: 499880, nr_write: 98, nr_throttled: 0 
      ksamplingd-31716   [085] .....  3409.160088: ksamplingd: nr_sampled: 2000000, nr_dram: 7603, nr_nvm: 492365, nr_write: 32, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3414.402224: ksamplingd: nr_sampled: 2500000, nr_dram: 14, nr_nvm: 499954, nr_write: 32, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3419.647018: ksamplingd: nr_sampled: 3000000, nr_dram: 16, nr_nvm: 499970, nr_write: 14, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3424.945291: ksamplingd: nr_sampled: 3500000, nr_dram: 99249, nr_nvm: 400736, nr_write: 15, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3432.018244: ksamplingd: nr_sampled: 4000000, nr_dram: 19, nr_nvm: 499954, nr_write: 27, nr_throttled: 0 
      ksamplingd-31716   [085] .....  3437.908335: ksamplingd: nr_sampled: 4500000, nr_dram: 114187, nr_nvm: 385801, nr_write: 12, nr_throttled: 0 
      ksamplingd-31716   [085] .....  3445.488841: ksamplingd: nr_sampled: 5000000, nr_dram: 430366, nr_nvm: 69624, nr_write: 10, nr_throttled: 0 
      ksamplingd-31716   [085] .....  3453.468330: ksamplingd: nr_sampled: 5500000, nr_dram: 376674, nr_nvm: 123311, nr_write: 15, nr_throttled: 0 
      ksamplingd-31716   [085] .....  3463.884957: ksamplingd: nr_sampled: 6000000, nr_dram: 24, nr_nvm: 499957, nr_write: 19, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3474.624851: ksamplingd: nr_sampled: 6500000, nr_dram: 45504, nr_nvm: 454483, nr_write: 13, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3484.288224: ksamplingd: nr_sampled: 7000000, nr_dram: 121289, nr_nvm: 378704, nr_write: 7, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3491.314832: ksamplingd: nr_sampled: 7500000, nr_dram: 249595, nr_nvm: 250399, nr_write: 6, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3505.201009: ksamplingd: nr_sampled: 8000000, nr_dram: 312717, nr_nvm: 187261, nr_write: 22, nr_throttled: 0 
      ksamplingd-31716   [085] .....  3516.445088: ksamplingd: nr_sampled: 8500000, nr_dram: 340154, nr_nvm: 159836, nr_write: 10, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3530.523826: ksamplingd: nr_sampled: 9000000, nr_dram: 113987, nr_nvm: 386002, nr_write: 11, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3548.752274: ksamplingd: nr_sampled: 9500000, nr_dram: 278679, nr_nvm: 221242, nr_write: 79, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3570.880061: ksamplingd: nr_sampled: 10000000, nr_dram: 78177, nr_nvm: 421736, nr_write: 87, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3586.656134: ksamplingd: nr_sampled: 10500000, nr_dram: 247233, nr_nvm: 252754, nr_write: 13, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3604.640462: ksamplingd: nr_sampled: 11000000, nr_dram: 249435, nr_nvm: 250559, nr_write: 6, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3633.768231: ksamplingd: nr_sampled: 11500000, nr_dram: 301835, nr_nvm: 197510, nr_write: 655, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3665.983325: ksamplingd: nr_sampled: 12000000, nr_dram: 248869, nr_nvm: 249524, nr_write: 1607, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3715.895217: ksamplingd: nr_sampled: 12500000, nr_dram: 214273, nr_nvm: 285279, nr_write: 448, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3772.806236: ksamplingd: nr_sampled: 13000000, nr_dram: 246120, nr_nvm: 246833, nr_write: 7047, nr_throttled: 0 
      ksamplingd-31716   [041] .....  3840.918278: ksamplingd: nr_sampled: 13500000, nr_dram: 249513, nr_nvm: 250437, nr_write: 50, nr_throttled: 0 
      ksamplingd-31716   [043] .....  3909.045230: ksamplingd: nr_sampled: 14000000, nr_dram: 249417, nr_nvm: 250537, nr_write: 46, nr_throttled: 0 
      ksamplingd-31716   [043] .....  3977.148792: ksamplingd: nr_sampled: 14500000, nr_dram: 249477, nr_nvm: 250453, nr_write: 70, nr_throttled: 0 
      ksamplingd-31716   [043] .....  4045.229120: ksamplingd: nr_sampled: 15000000, nr_dram: 249481, nr_nvm: 250452, nr_write: 67, nr_throttled: 0 
      ksamplingd-31716   [043] .....  4120.980736: ksamplingd: nr_sampled: 15500000, nr_dram: 282761, nr_nvm: 217189, nr_write: 50, nr_throttled: 0 
      ksamplingd-31716   [045] .....  4188.405016: ksamplingd: nr_sampled: 16000000, nr_dram: 249447, nr_nvm: 250507, nr_write: 46, nr_throttled: 0 
      ksamplingd-31716   [045] .....  4256.524642: ksamplingd: nr_sampled: 16500000, nr_dram: 249451, nr_nvm: 250510, nr_write: 39, nr_throttled: 0 
      ksamplingd-31716   [043] .....  4324.592303: ksamplingd: nr_sampled: 17000000, nr_dram: 249484, nr_nvm: 250455, nr_write: 61, nr_throttled: 0 
      ksamplingd-31716   [043] .....  4392.714956: ksamplingd: nr_sampled: 17500000, nr_dram: 249431, nr_nvm: 250500, nr_write: 69, nr_throttled: 0 
